sentence,label,clean_text,sentiment
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",1,according gran company plan move production russia although company growing,Neutral
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",1,technopolis plan develop stage area le square meter order host company working computer technology telecommunication statement said,Neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",0,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,Negative
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,2,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,Positive
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",2,according company updated strategy year basware target long term net sale growth range operating profit margin net sale,Positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,2,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,Positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",2,last quarter componenta net sale doubled eur eur period year earlier moved zero pre tax profit pre tax loss eur,Positive
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",2,third quarter net sale increased eur mn operating profit eur mn,Positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2,operating profit rose eur mn eur mn corresponding period representing net sale,Positive
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,operating profit totalled eur mn eur mn representing net sale,Positive
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,2,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,Positive
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",2,stora enso norske skog real upm kymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,Positive
