text,true_label,pred_label
company supposed deliver machinery veneer mill tomsk region russia,1,2
unc charlotte would also deploy ssh tectia connector enable secure application connectivity,1,1
lee man combined annual production capacity close million tonne paper tonne pulp,1,2
high figure european scale noop said recalling however also includes beer bought finnish tourist,1,1
finland corresponding service alma medium etuovi com finland popular best known nationwide online service home property sale,1,1
construction scheduled start april june completed early,1,1
finnish owned contract manufacturer electronics elcoteq hungary kft announced plan recruit new staffer fulfill new order p c company two plant,2,1
gross area innova project sq sq ft,1,1
finnish home decoration art craft retailer tiimari plc omx helsinki tii v reported monday august operating loss eur net sale eur period january june,1,1
delivery start second half start mill scheduled,1,1
steek set based bordeaux southwestern france,1,1
outotec said new order worth mln eur quarter compared mln eur year earlier,2,2
store located poznan shopping center named pestka company added,1,1
value order usd mn,1,1
company expects meat purchase remain mn kilo,1,1
finnish house manufacturer targeting strongly growing one family house market russia,1,1
deal worth eur mn,1,1
investment investment activity communication relates available relevant person engaged relevant person,1,1
following increase company eur tm capital total mln romanian lei mln mln euro,1,1
since association data cover sale figure small local brewery sale imported beer product actual market share member smaller given report,0,1
according latvian business register uponor latvia closed red lvl eur usd turnover lvl mn,0,1
issue came connection discussion local municipality concerning sale water industrial facility,1,1
operating profit rose eur mn eur mn corresponding period representing net sale,2,2
annual capacity mw,1,1
finnish company building mt year biodiesel plant singapore,1,1
long standing partnership commitment enable party develop respective operation esl shipping also opportunity update fleet improve efficiency,2,2
aldata solution global company engaged supplier consumer business process optimization announced detail dollar dinosaur program,1,1
reason behind estimate include rise rent level several fully leased office retail property completed added company investment property portfolio,1,1
finnish beverage company olvi introducing new long drink olvi kultalonkero golden long drink market finland spring,1,1
current reference grade instrument challenging operate due high price complexity routine use,0,1
rental building equipment accounted percent operating income,1,1
piloting instrument developed according experience gained,1,1
goal achieved via organic growth possibly supplemented acquisition,1,2
operating profit fell eur mn second quarter eur mn second quarter,0,0
c expo signature show dongguan supported dongguan municipal government every year featuring computer accessory software communication network product,1,1
ruukki romania local arm finnish metal producer ruukki increased capital euro mln cash contribution reported september,2,2
nokia u share percent lower gmt,0,0
finnish component supplier componenta corporation omx helsinki cth v reported tuesday july operating profit eur net sale eur financial period january june,1,1
elite residence tower new development tameer located heart dubai marina,1,1
lay offs affect people total okmetic employee finland,0,1
agreement continue good cooperationand time release capital tied ourmachinery operation,2,2
travel expense would reimbursed accordance travel policy company,1,1
ahlstrom corporation anne pirila director financial communication distribution helsinki stock exchange main medium ahlstrom brief ahlstrom leader development manufacture marketing high performance fiber based material,1,1
almost two third orion net sale came drug,1,1
net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period,2,2
according aktia asset management finnish analyst forecast still high,0,2
ramirent leading construction machinery rental company finland annual sale eur million operating nationwide outlet employee,2,1
teliasonera net sale sek bn ebitda sek bn net income sek bn,1,2
chain posted sale million euro full rise percent year year,2,2
scanfil expects net sale remain level,1,1
profit tax eur million,1,1
company also appointed leif rosen head special plate unit includes quarto plate unit degerfors sweden new castle usa unit willich germany well pressplate prefab avesta plate service centre nordic degerfors,1,1
upm delivery increased third quarter percent efficiency operation improved chief executive jussi pesonen said,2,2
operating profit month period decreased eur turnover increased eur compared financial year,0,0
cent profile contains business operation company history major product service prospect key competitor structure key employee location subsidiary,1,1
profit tax period eur eur last year,2,2
newly completed allure sea identical sister ship oasis sea completed last year world largest cruise ship,1,1
number class share remains unchanged share,1,1
rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street,1,1
honkarakenne customer project one biggest real estate company kazakhstan according company,1,1
new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operation,2,1
turun kaupunkin finland based company awarded contract lemminkainen talotekniikka oy electrical installation work,2,1
based first quarter result existing order backlog new order prospect company expects full year sale contract gross margin stay healthy level operating profit margin lower due lower sale volume,0,2
audio webcast available live archived cerner web site www cerner com,1,1
earnings per share eps first quarter amounted eur eur,2,0
transaction agreement metsaliitto purchase metsa botnia share upm real,1,1
skf april alandsbanken given buy recommendation swedish industrial company skf ab sto skf b share price target sek,2,1
return investment compared,2,2
citigroup inc nyse c deutsche bank nyse db pohjola bank lead manager sale,1,1
group profit tax eur million,1,1
company wide selection metal product service,1,1
operating profit turnover three month period increased respectively eur eur compared corresponding period,2,2
elcoteq revenue approximately eur million,1,1
previously vaahto pulp supplied headboxes rectifier roll dilution control technology stora enso mill imatra eastern finland,1,1
vessel order help aspo secure long term competitiveness fleet term technology pricing,2,1
aspocomp intends set plant manufacture printed circuit board investment r crore,1,1
finnish company sold uk operation consisting staff office london birmingham manchester part deal hampden july european wide property casualty arm sampo industrial,1,1
aspo serf demanding business business customer,1,1
tikkurila division kemira group control russian market field owns st petersburg paint producer tex,1,1
viking line cargo revenue increased eur mn cargo volume increased cargo unit,2,2
internal revenue service see percent taxpayer wait last two week file million return filed april,1,1
adjustment fall price level contrast le effective,0,1
digia said consolidated net sale january june eur period eur,2,2
finnish shipping company finnlines pretax loss totalled eur mn third quarter compared profit eur mn third quarter,0,0
finnish security privacy software solution developer stonesoft oyj said january preliminary sale stonegate product grew pct year year mln euro mln fourth quarter,2,2
finnish cargotec kalmar received significant order u department defense,2,2
new substation support edge technology enables faster data traffic,1,2
adp news feb finnish management software solution provider ixonos oyj hel xns v said today net profit rose eur million usd eur million,2,2
testament quality lte solution commitment japanese market added,1,1
nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor long standing partnership continues grow stronger time,2,2
finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,2,2
credit cover approximately ship price,1,1
employment contract employee end march result company previous employer employee talk,0,1
finnish neste oil previously list fallen list completely,1,1
pge belchatow run gw belchatow coal fired power plant fortum intention start cc demonstration project jointly teollisuuden voima oyj tvo another finnish utility jointly owned mw meri pori coal fired facility,1,1
company exported twenty european country well africa,1,1
total six polled analyst rated real two gave buy accumulate three gave hold one gave sell,1,1
real part finnish paper maker metsaliitto group due release second quarter report around eet august,1,2
adp news nov finnish power supply solution provider efore oyj omx efo v announced today launch opus dc latest power system opus product line,2,1
total stock option issued stock option scheme,1,1
following transaction tulikivi restructured operation soapstone fireplace business natural stone product business ceramic product business unit,1,1
company share listed mid cap segment nasdaq omx helsinki,1,1
sale finalized september october company said,1,2
value order eur mn,1,1
train expected cross russian territory day reaching vostochny port,1,1
altogether subject mildly elevated cholesterol level participated four month long intervention,1,1
stockmann earned million lat profit million lat turnover,1,1
finnish automation solution developer cencorp corporation omx helsinki cnc v said friday june completed employee negotiation regarding reorganisation operation,2,1
operating profit six month period decreased eur sale increased eur compared corresponding period,1,0
belarus oao lidskoe pivo brewery based grodno region reported decrease output million decaliter january march representative administration company told,0,1
plant go stream november estimated daily production litre bioethanol,1,1
acquisition elektros pavara completes kone market expansion strategy baltic country,2,1
finnish plumbing heating system supplier uponor net sale continuing business operation decreased eur mn july september compared eur mn third quarter,0,0
elcoteq se stock exchange announcement february eet elcoteq publish financial statement bulletin wednesday february eet,1,1
telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,2,1
nokian capacitor equipment used raise capacity reliability indian grid,2,2
huhtamaki oyj stock exchange release huhtamaki oyj resolved clarify group structure separating foodservice consumer good business production unit hameenlinna finland transferring business wholly owned subsidiary,1,1
german company also signed code share agreement another oneworld member american airline inc part u based amr corp nyse amr,2,1
finnish fiber plastic product maker suominen corporation said net loss narrowed mln euro mln first nine month mln euro mln period,2,2
olvi target strengthen market share soft drink mineral water cider long drink energy drink,1,2
tailored solution meet solel technical requirement result cost effective manufacturing highest quality reflector,2,2
reporting accordance merged business operation start january,1,1
rme telcontar enables handset calculate best route includes support user defined route feature navigability multi modal routing via foot ferry,1,1
treatment product usa canada mexico australia brazil today global research data service going publish several market analysis market water treatment product selected country,1,1
according finnish l nnen tehtaat ceo matti karppinen l nnen tehtaat sold majority feed grain business quickly start look acquisition,1,1
pleased proud performance last year chief executive juha rantanen said statement,2,2
however growth margin slowed due financial crisis,0,2
tecnotree convergent charging solution includes functionality prepaid post paid billing charging rating voice call video call raw data traffic mobile fixed network,1,1
basware product sale grew strongly financial period percent,2,2
secure file online like filling tax return making backup boring,1,1
frost sold share million per share compared friday high low,0,1
six brewery recorded percent growth domestic beer sale last year million liter million liter sold,2,2
amer bought salomon adidas october said job cut aimed boosting competitiveness,1,2
party agreed disclose transaction value,1,1
tiimari finnish retailer reported geenrated quarterly revenue totalling eur mn th quarter eur mn loss,2,2
process product order installation separation filtration equipment three natural gas pipeline project china south america saudi arabia,1,2
kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kauko telko ltd subsidiary wholly owned kesko,2,2
tightened competition situation production automation market affected net sale cencorp said,0,1
solid credit compared dz bank rabobank,2,2
pohjola cooperative bank continued combine branch office network,1,1
jussi pesonen member sampo board since renounce seat sampo board,1,1
new activity incur investment meur,1,1
scanfil also issued profit warning,0,0
q may finnish electrical component maker salcomp oy hel sal v said today turned net profit eur first quarter versus loss eur corresponding period last year,2,2
body e vostok also owns stake power sale company mosenergosbytbody rts mssb altaienergosbyt saratovenergo rts sare body tambov power sale company rts tasb ofbodywhich received distribution balance,1,1
used control speed electric motor used industry municipal engineering power generation using renewable energy,1,1
serve broad range customer including construction process industry shipyard public sector household,1,1
detail provided,1,1
raute posted net profit mln euro mln third quarter compared net loss euro corresponding period,2,0
international conference call audio webcast concerning financial result january march begin eet,1,1
enclosed affecto call extraordinary general meeting held july th main agenda approve authorization board proposed share issue related component software acquisition elect haakon skaarer affecto board,1,1
finnish business software group affectogenimap oyj said signed agreement acquire share swedish sector company intellibis ab mln euro mln debt free basis,2,2
invention released patent office said chamber pressurized,1,1
finnish metso supply new wood handling bleaching line well rebuild kraft liner washing line klabin tel maco borba mill brazilian state paran,2,2
subscriber china unicom nation second largest mobile phone operator china mobile expected release picture video blog internet via mobile phone march,1,1
reduction concluded autumn,1,0
back tikkurila former owner finnish chemical company kemira oyj hel kra v distributed stake kemira shareholder facilitate divestment listing tikkurila,1,1
european traffic grew nearly,2,2
q profit tax amounted eur mn eur mn q,0,2
food trade sale amounted eur decline,0,1
south african sappi become largest foreign forest industry company operating finland result acquisition finnish real corporation graphic paper business unit,2,1
according finnish pension insurance company varma varma recipient two third revenue earnings related pension cover competitive tendering finland,2,1
otherwise situation control,1,1
extremely delighted project continuation cooperation viking line,2,2
delivery nokia nokia nokia expected start second quarter,1,1
estimate operating profit improve third quarter,2,2
london icis tikkurila completed sale powder coating business finnish industrial coating firm teknos group finland based decorative paint company said wednesday,1,1
workforce reduced also amsterdam office netherlands,0,1
affecto provide new efi data warehouse reporting solution behavioural scoring system supporting operational decision process data migration old legacy system new efi system,1,1
according product manager lassi hietanen building power plant burn mixed waste helsinki may good idea reduces production combined power plant using natural gas,1,1
ism disclose financial result daily said,1,1
operating profit rose eur mn eur mn,2,2
new company likely hold ipo nyse another international stock exchange according altimo manages alfa group telecommunication asset teliasonera agreement published website u security exchange commission,1,1
addition deal includes call option enable maritim food increase holding sandanger future,2,1
adp news finnish handling system provider cargotec oyj hel cgcbv announced friday order worth eur million usd deliver linkspans jordan morocco ireland,2,1
rinkuskiai beer sale fell per cent million litre kauno alus beer sale jumped per cent million litre,1,1
alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset u patent trademark office announced,1,1
ruukki included djsi world second year running european djsi stoxx third year running,1,1
together latvia cramo operate rental outlet baltic state,1,1
finnish construction company yit oyj said november mln euro mln contract construct new office building local property company tapiola real estate oy,2,1
new policy also aimed making company profitable competitive,2,2
adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur million usd first nine month eur,2,2
according olvi company already negotiating new agreement,1,1
major brewery increased domestic beer sale per cent last year million litre million litre,2,2
six agreement company first customer acquisition india since taking tv electronics contract manufacturing facility jun,1,1
profit tax decreased eur mn first nine month compared eur mn year earlier,0,0
november finnish textile clothing company marimekko oyj hel mmo v announced friday opening first concept store seoul cooperation japanese sector player look inc tyo,2,1
pretax profit totaled eur mn compared eur mn first quarter,0,0
ethanol would made barley production could start,1,1
stora enso receive pct equity interest combined company,1,1
popular mobile data service email surfing internet well news weather service,1,1
government exempting certain stainless steel product anti dumping duty finland based outokumpu today said look enter supply pact indian railway soon,1,2
operating profit totalled eur mn loss eur mn second quarter,2,2
nokia siemens network provides mobile fixed network infrastructure communication network service platform well professional service operator service provider,1,1
change medium activity seen october compared september,1,0
adp news feb finnish solution provider affecto oyj hel afe v said today net profit rose eur million usd eur million,2,2
however broker rating stock differ,1,1
preliminary estimate hotel operate brand novotel,1,1
according preliminary information finnish forest industry federation import roundwood finland increased million representing increase,1,2
march finnish company digia oyj hel dig v announced today agreement mobile phone major nokia oyj hel nok v acquire commercial licensing service business related nokia qt technology,2,1
canned preserved food finland report offer comprehensive guide size shape market national level,1,1
